,0
688,angry
689,surprised
690,surprised
691,sad
692,disgust
693,disgust
694,sad
695,fearful
696,angry
697,angry
698,fearful
699,surprised
700,surprised
701,neutral
702,calm
703,calm
704,happy
705,happy
706,angry
707,fearful
708,fearful
709,angry
710,disgust
711,sad
712,sad
713,disgust
714,surprised
715,surprised
716,happy
717,happy
718,calm
719,neutral
720,calm
721,happy
722,happy
723,calm
724,calm
725,neutral
726,fearful
727,angry
728,angry
729,fearful
730,sad
731,disgust
732,disgust
733,sad
734,surprised
735,surprised
736,calm
737,neutral
738,calm
739,happy
740,happy
741,surprised
742,surprised
743,disgust
744,sad
745,sad
746,disgust
747,angry
748,fearful
749,fearful
750,angry
751,surprised
752,surprised
753,sad
754,disgust
755,disgust
756,sad
757,fearful
758,angry
759,angry
760,fearful
761,neutral
762,calm
763,calm
764,happy
765,happy
766,surprised
767,surprised
768,angry
769,fearful
770,fearful
771,angry
772,disgust
773,sad
774,sad
775,disgust
776,happy
777,happy
778,calm
779,neutral
780,calm
781,happy
782,happy
783,calm
784,calm
785,neutral
786,surprised
787,surprised
788,fearful
789,angry
790,angry
791,fearful
792,sad
793,disgust
794,disgust
795,sad
796,surprised
797,surprised
798,fearful
799,angry
800,angry
801,fearful
802,sad
803,disgust
804,disgust
805,sad
806,happy
807,happy
808,calm
809,calm
810,neutral
811,happy
812,happy
813,calm
814,neutral
815,calm
816,surprised
817,surprised
818,angry
819,fearful
820,fearful
821,angry
822,disgust
823,sad
824,sad
825,disgust
826,neutral
827,calm
828,calm
829,happy
830,happy
831,surprised
832,surprised
833,sad
834,disgust
835,disgust
836,sad
837,fearful
838,angry
839,angry
840,fearful
841,surprised
842,surprised
843,disgust
844,sad
845,sad
846,disgust
847,angry
848,fearful
849,fearful
850,angry
851,calm
852,neutral
853,calm
854,happy
855,happy
856,disgust
857,sad
858,sad
859,disgust
860,angry
861,fearful
862,fearful
863,angry
864,surprised
865,surprised
866,calm
867,neutral
868,calm
869,happy
870,happy
871,neutral
872,calm
873,calm
874,happy
875,happy
876,sad
877,disgust
878,disgust
879,sad
880,fearful
881,angry
882,angry
883,fearful
884,surprised
885,surprised
886,happy
887,happy
888,calm
889,neutral
890,calm
891,angry
892,fearful
893,fearful
894,angry
895,disgust
896,sad
897,sad
898,disgust
899,surprised
900,surprised
901,fearful
902,angry
903,angry
904,fearful
905,sad
906,disgust
907,disgust
908,sad
909,surprised
910,surprised
911,happy
912,happy
913,calm
914,calm
915,neutral
916,happy
917,happy
918,calm
919,calm
920,neutral
921,fearful
922,angry
923,angry
924,fearful
925,sad
926,disgust
927,disgust
928,sad
929,surprised
930,surprised
931,angry
932,fearful
933,fearful
934,angry
935,disgust
936,sad
937,sad
938,disgust
939,surprised
940,surprised
941,happy
942,happy
943,calm
944,neutral
945,calm
946,sad
947,disgust
948,disgust
949,sad
950,fearful
951,angry
952,angry
953,fearful
954,surprised
955,surprised
956,neutral
957,calm
958,calm
959,happy
960,happy
961,calm
962,neutral
963,calm
964,happy
965,happy
966,disgust
967,sad
968,sad
969,disgust
970,angry
971,fearful
972,fearful
973,angry
974,surprised
975,surprised
976,angry
977,fearful
978,fearful
979,angry
980,disgust
981,sad
982,sad
983,disgust
984,surprised
985,surprised
986,happy
987,happy
988,calm
989,neutral
990,calm
991,happy
992,happy
993,calm
994,calm
995,neutral
996,fearful
997,angry
998,angry
999,fearful
1000,sad
1001,disgust
1002,disgust
1003,sad
1004,surprised
1005,surprised
1006,calm
1007,neutral
1008,calm
1009,happy
1010,happy
1011,disgust
1012,sad
1013,sad
1014,disgust
1015,angry
1016,fearful
1017,fearful
1018,angry
1019,surprised
1020,surprised
1021,sad
1022,disgust
1023,disgust
1024,sad
1025,fearful
1026,angry
1027,angry
1028,fearful
1029,surprised
1030,surprised
1031,neutral
1032,calm
1033,calm
1034,happy
1035,happy
1036,surprised
1037,surprised
1038,sad
1039,disgust
1040,disgust
1041,sad
1042,fearful
1043,angry
1044,angry
1045,fearful
1046,neutral
1047,calm
1048,calm
1049,happy
1050,happy
1051,calm
1052,neutral
1053,calm
1054,happy
1055,happy
1056,surprised
1057,surprised
1058,disgust
1059,sad
1060,sad
1061,disgust
1062,angry
1063,fearful
1064,fearful
1065,angry
1066,happy
1067,happy
1068,calm
1069,calm
1070,neutral
1071,surprised
1072,surprised
1073,fearful
1074,angry
1075,angry
1076,fearful
1077,sad
1078,disgust
1079,disgust
1080,sad
1081,surprised
1082,surprised
1083,angry
1084,fearful
1085,fearful
1086,angry
1087,disgust
1088,sad
1089,sad
1090,disgust
1091,happy
1092,happy
1093,calm
1094,neutral
1095,calm
1096,happy
1097,happy
1098,calm
1099,neutral
1100,calm
1101,surprised
1102,surprised
1103,angry
1104,fearful
1105,fearful
1106,angry
1107,disgust
1108,sad
1109,sad
1110,disgust
1111,surprised
1112,surprised
1113,fearful
1114,angry
1115,angry
1116,fearful
1117,sad
1118,disgust
1119,disgust
1120,sad
1121,happy
1122,happy
1123,calm
1124,calm
1125,neutral
1126,surprised
1127,surprised
1128,disgust
1129,sad
1130,sad
1131,disgust
1132,angry
1133,fearful
1134,fearful
1135,angry
1136,calm
1137,neutral
1138,calm
1139,happy
1140,happy
1141,neutral
1142,calm
1143,calm
1144,happy
1145,happy
1146,surprised
1147,surprised
1148,sad
1149,disgust
1150,disgust
1151,sad
1152,fearful
1153,angry
1154,angry
1155,fearful
1156,surprised
1157,surprised
1158,angry
1159,fearful
1160,fearful
1161,angry
1162,disgust
1163,sad
1164,sad
1165,disgust
1166,happy
1167,happy
1168,calm
1169,neutral
1170,calm
1171,happy
1172,happy
1173,calm
1174,calm
1175,neutral
1176,surprised
1177,surprised
1178,fearful
1179,angry
1180,angry
1181,fearful
1182,sad
1183,disgust
1184,disgust
1185,sad
1186,calm
1187,neutral
1188,calm
1189,happy
1190,happy
1191,surprised
1192,surprised
1193,disgust
1194,sad
1195,sad
1196,disgust
1197,angry
1198,fearful
1199,fearful
1200,angry
1201,surprised
1202,surprised
1203,sad
1204,disgust
1205,disgust
1206,sad
1207,fearful
1208,angry
1209,angry
1210,fearful
1211,neutral
1212,calm
1213,calm
1214,happy
1215,happy
1216,happy
1217,happy
1218,calm
1219,calm
1220,neutral
1221,surprised
1222,surprised
1223,fearful
1224,angry
1225,angry
1226,fearful
1227,sad
1228,disgust
1229,disgust
1230,sad
1231,surprised
1232,surprised
1233,angry
1234,fearful
1235,fearful
1236,angry
1237,disgust
1238,sad
1239,sad
1240,disgust
1241,happy
1242,happy
1243,calm
1244,neutral
1245,calm
1246,surprised
1247,surprised
1248,sad
1249,disgust
1250,disgust
1251,sad
1252,fearful
1253,angry
1254,angry
1255,fearful
1256,neutral
1257,calm
1258,calm
1259,happy
1260,happy
1261,calm
1262,neutral
1263,calm
1264,happy
1265,happy
1266,surprised
1267,surprised
1268,disgust
1269,sad
1270,sad
1271,disgust
1272,angry
1273,fearful
1274,fearful
1275,angry
1276,neutral
1277,calm
1278,calm
1279,happy
1280,happy
1281,surprised
1282,surprised
1283,sad
1284,disgust
1285,disgust
1286,sad
1287,fearful
1288,angry
1289,angry
1290,fearful
1291,surprised
1292,surprised
1293,disgust
1294,sad
1295,sad
1296,disgust
1297,angry
1298,fearful
1299,fearful
1300,angry
1301,calm
1302,neutral
1303,calm
1304,happy
1305,happy
1306,surprised
1307,surprised
1308,fearful
1309,angry
1310,angry
1311,fearful
1312,sad
1313,disgust
1314,disgust
1315,sad
1316,happy
1317,happy
1318,calm
1319,calm
1320,neutral
1321,happy
1322,happy
1323,calm
1324,neutral
1325,calm
1326,surprised
1327,surprised
1328,angry
1329,fearful
1330,fearful
1331,angry
1332,disgust
1333,sad
1334,sad
1335,disgust
1336,surprised
1337,surprised
1338,angry
1339,fearful
1340,fearful
1341,angry
1342,disgust
1343,sad
1344,sad
1345,disgust
1346,happy
1347,happy
1348,calm
1349,neutral
1350,calm
1351,happy
1352,happy
1353,calm
1354,calm
1355,neutral
1356,surprised
1357,surprised
1358,fearful
1359,angry
1360,angry
1361,fearful
1362,sad
1363,disgust
1364,disgust
1365,sad
1366,calm
1367,neutral
1368,calm
1369,happy
1370,happy
1371,surprised
1372,surprised
1373,disgust
1374,sad
1375,sad
1376,disgust
1377,angry
1378,fearful
1379,fearful
1380,angry
1381,surprised
1382,surprised
1383,sad
1384,disgust
1385,disgust
1386,sad
1387,fearful
1388,angry
1389,angry
1390,fearful
1391,neutral
1392,calm
1393,calm
1394,happy
1395,happy
1396,surprised
1397,surprised
1398,disgust
1399,sad
1400,sad
1401,disgust
1402,angry
1403,fearful
1404,fearful
1405,angry
1406,calm
1407,neutral
1408,calm
1409,happy
1410,happy
1411,neutral
1412,calm
1413,calm
1414,happy
1415,happy
1416,surprised
1417,sad
1418,disgust
1419,disgust
1420,sad
1421,fearful
1422,angry
1423,angry
1424,fearful
1425,happy
1426,happy
1427,calm
1428,neutral
1429,calm
1430,surprised
1431,surprised
1432,angry
1433,fearful
1434,fearful
1435,angry
1436,disgust
1437,sad
1438,sad
1439,disgust
1440,surprised
1441,surprised
1442,fearful
1443,angry
1444,angry
1445,fearful
1446,sad
1447,disgust
1448,disgust
1449,sad
1450,happy
1451,happy
1452,calm
1453,calm
1454,neutral
